Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars
Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars
"Last Revised on: December 21, 2023 - Next Release Date January 25, 2024"
8,"            Nondurable goods",523,535,544,551,560,569,568,567,558,550,537,539,540,547,570,568,600,594,603,614,608,617,626,635,634,632,624,622,628,626,628,633,636,644,646,655,661,663,667,671,678,682,695,690,693,698,705,708,716,719,722,726,723,731,726,727,730,732,731,736,743,745,749,754,757,756,766,763,778,791,806,808,815,829,843,873,889,903,913,913,921,927,933,941,968,987,1009,1017,1034,1048,1064,1079,1100,1107,1118,1138,1141,1152,1156,1168,1181,1213,1237,1272,1304,1329,1366,1399,1449,1489,1530,1541,1563,1599,1646,1659,1691,1713,1743,1780,1807,1835,1858,1915,1944,2001,2044,2099,2162,2225,2317,2385,2469,2489,2528,2585,2680,2712,2732,2753,2765,2754,2795,2818,2813,2876,2934,2962,2998,3060,3062,3089,3124,3161,3185,3231,3249,3193,3200,3225,3295,3349,3376,3392,3433,3488,3549,3603,3662,3756,3780,3830,3913,3928,4003,4051,4020,4038,4034,4005,4060,4084,4122,4161,4166,4181,4191,4226,4259,4289,4357,4394,4397,4422,4433,4449,4511,4604,4614,4680,4715,4689,4745,4769,4752,4787,4826,4885,4980,5086,5148,5284,5305,5444,5508,5564,5533,5584,5572,5525,5526,5597,5608,5681,5811,5754,5927,5972,6088,6156,6220,6379,6414,6494,6702,6799,6861,6960,7062,6977,7083,7190,7244,7372,7423,7581,7649,7091,6908,6973,7131,7211,7268,7261,7296,7465,7647,7795,7796,7817,7937,7898,7904,7953,8055,7965,8045,8106,8168,8275,8317,8272,8113,8209,8271,8182,8134,8258,8262,8327,8464,8478,8554,8723,8853,8894,8907,8935,8933,9103,9159,9189,9289,8816,9514,9564,9992,10471,10657,11006,11288,11675,11695,11723,11771,11794,12004
9,"        Services",423,430,437,443,448,458,465,469,470,471,470,472,478,490,503,511,532,538,545,552,561,571,583,593,602,612,621,619,626,635,644,652,661,665,672,686,694,702,712,722,728,735,743,753,755,766,776,782,794,809,824,837,844,853,853,862,870,883,886,902,912,927,935,946,952,962,978,993,1010,1026,1041,1056,1070,1088,1105,1127,1143,1163,1179,1200,1217,1234,1257,1276,1310,1343,1372,1400,1427,1461,1488,1523,1556,1583,1615,1641,1670,1704,1739,1777,1823,1856,1894,1941,1978,2021,2065,2106,2141,2209,2266,2334,2404,2467,2517,2597,2665,2712,2786,2866,2952,3014,3096,3167,3269,3376,3453,3532,3610,3718,3809,3921,4014,4076,4218,4392,4476,4588,4677,4772,4874,4966,5092,5254,5389,5499,5665,5769,5858,5982,6114,6218,6419,6532,6689,6777,6891,6976,7057,7173,7304,7430,7552,7690,7875,8030,8236,8384,8526,8634,8750,8900,9032,9227,9378,9417,9465,9602,9704,9818,10042,10168,10311,10490,10587,10716,10886,10987,11117,11240,11346,11455,11584,11760,11882,11992,12141,12273,12396,12527,12685,12833,13018,13195,13373,13578,13765,13871,14013,14192,14384,14641,14949,15159,15387,15608,15822,15911,15950,16100,16226,16417,16575,16764,16953,17170,17372,17570,17813,18022,18297,18564,18816,19093,19337,19593,19827,20112,20323,20554,20838,21000,21248,21494,21740,21983,22076,22027,21862,21739,21819,21953,22129,22350,22524,22623,22767,22948,23119,23137,23360,23503,23577,23731,23849,24011,24144,24444,24591,24824,25125,25431,25603,25813,26018,26159,26419,26649,26918,27141,27457,27639,27844,28156,28520,28860,29114,29323,29465,29724,30077,30406,29902,26461,28724,29360,30050,31355,32391,33010,33490,34203,34863,35507,36265,36638,37102
,Chained (2017) dollars:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"    Gross domestic product",15248,15139,15039,15204,15371,15563,15585,15530,15250,15137,15228,15032,15559,15977,16524,16764,16922,17147,17420,17375,17490,17459,17509,18001,18268,18341,18155,17797,17636,17584,17701,17960,18396,18621,18787,18808,18658,18736,18632,18845,18881,18763,18862,18582,18032,18081,18419,18764,19041,19395,19326,19296,19614,19392,19390,19065,19130,19380,19670,19970,20254,20366,20536,20521,20677,20842,21219,21276,21657,21824,22085,22075,22547,22770,23198,23656,24172,24191,24321,24446,24602,24556,24719,24836,25288,25652,25781,25813,26162,26181,26281,26076,25973,25929,26079,25710,26328,26394,26529,26510,26932,27478,27666,28055,28687,28935,28711,28913,28606,28613,28270,28088,27690,27821,28214,28520,29099,29250,29335,29469,29749,30254,30713,30626,30653,31757,31982,32318,32294,32244,32386,32366,32377,31621,31489,31990,32550,32236,32533,32095,31529,31603,31402,31337,31686,32340,32906,33513,34103,34622,34871,35072,35346,35582,36033,36210,36476,36563,36822,36931,37132,37454,37685,38238,38359,38782,38908,39328,39648,39861,40046,40015,40361,40382,40266,39759,39451,39632,39691,39694,40051,40350,40599,40881,40829,40942,40997,41423,41713,42154,42264,42618,42654,42660,42885,43044,43259,43856,44105,44421,44590,45203,45616,45862,46204,46504,46943,47555,47880,48148,48632,49281,49335,50109,50024,50190,49911,50105,49774,49783,50091,50286,50362,50302,50462,50796,51512,51986,52179,52469,52835,53242,53719,53868,54153,54317,54927,54945,54886,55216,55260,55474,55649,55857,55497,55705,55278,53941,53221,53017,53081,53531,53683,54100,54401,54569,54341,54610,54482,54979,55342,55490,55454,55403,55859,55914,56272,56642,56345,56968,57536,57702,58121,58376,58486,58470,58704,58787,59084,59296,59494,59736,60099,60674,61093,61336,61622,61619,61889,62331,62945,63257,62333,57386,61806,62414,63227,64157,64615,65651,65286,65127,65462,65783,66078,66341,67036
11,"    Gross national product",15347,15242,15141,15310,15485,15681,15704,15648,15363,15247,15335,15131,15663,16086,16649,16889,17042,17284,17561,17523,17630,17599,17647,18138,18403,18482,18283,17924,17771,17717,17835,18107,18547,18769,18936,18960,18822,18898,18797,18993,19049,18940,19033,18724,18175,18226,18560,18903,19180,19534,19473,19449,19762,19542,19544,19226,19297,19540,19833,20136,20419,20544,20715,20721,20869,21028,21408,21469,21865,22024,22290,22267,22762,22990,23406,23848,24370,24388,24515,24646,24800,24750,24929,25040,25497,25865,25998,26028,26379,26391,26482,26276,26177,26138,26286,25902,26548,26624,26740,26730,27160,27704,27907,28295,28958,29221,29037,29241,28983,28971,28598,28374,27935,28067,28477,28827,29398,29560,29646,29786,30106,30604,31060,30938,31007,32058,32308,32686,32669,32659,32873,32848,32866,32074,31917,32344,32925,32590,32907,32508,31921,32038,31775,31697,32041,32717,33289,33909,34472,34993,35238,35402,35611,35859,36266,36466,36705,36735,37011,37068,37284,37632,37859,38424,38584,38989,39093,39529,39844,40048,40249,40261,40594,40625,40474,40115,39728,39835,39869,39922,40275,40569,40800,41087,41075,41147,41234,41567,41896,42311,42410,42756,42844,42863,43009,43231,43481,44032,44263,44608,44731,45384,45756,45966,46354,46639,47009,47633,48000,48292,48762,49457,49484,50270,50158,50439,50088,50320,49878,50182,50309,50415,50549,50558,50645,51035,51742,52324,52594,52770,53171,53458,54070,54163,54478,54523,55136,55126,55014,55373,55410,55693,56082,56449,56045,56272,55909,54278,53653,53455,53736,54153,54407,54830,55096,55313,55112,55370,55318,55863,56168,56251,56214,56151,56565,56661,57052,57400,57104,57693,58332,58402,58822,59039,59149,59195,59371,59453,59759,60138,60321,60533,61026,61707,62079,62281,62457,62468,62786,63224,63801,64062,63158,57943,62466,63000,63917,64673,65099,66158,65723,65692,65994,66295,66520,66816,67487
12,"    Disposable personal income",10311,10165,10388,10195,10343,10621,10748,10758,10500,10510,10533,10545,11312,11239,11331,11349,11313,11519,11597,11522,11470,11570,11753,11950,12047,12159,12045,11949,11958,11921,11992,12163,12309,12531,12705,12791,12866,12936,12942,13077,13060,13098,13106,12959,12797,12836,13062,13201,13221,13382,13307,13343,13418,13424,13382,13324,13405,13556,13679,13886,13973,14075,14096,14164,14240,14325,14426,14605,14844,15196,15339,15459,15598,15731,16107,16378,16499,16500,16650,16794,17005,17098,17212,17289,17540,17788,17797,17886,17894,18028,18344,18430,18577,18748,18983,18872,19190,19413,19455,19621,19664,19821,20154,20907,21020,21150,21193,21373,20975,20735,20701,20620,20548,21447,21073,21182,21392,21468,21580,21659,21658,21809,22050,22408,22530,22711,22821,22904,23120,22851,22889,22865,22887,22623,22802,23045,22956,22924,23351,23307,23312,23406,23466,23494,23681,23801,24096,24562,24984,25335,25604,25753,25643,26100,25961,26181,26483,26759,26842,26782,26927,26592,27003,27325,27719,27978,28189,28387,28637,28478,28587,28754,28919,29042,28943,28611,28610,28734,28742,28868,29339,29516,29534,29563,29588,29590,29514,29625,29737,29946,30025,30362,30537,30534,30712,30792,31001,31193,31334,31392,31596,31777,32046,32418,33022,33394,33621,33771,34045,33975,34107,34446,34958,35284,35653,35797,35999,35887,36611,35912,36693,36905,36857,36992,36924,37261,37802,37814,37912,38217,38368,38718,38112,38378,38422,38669,39299,39357,39312,39690,39905,40013,39977,39925,40006,40740,39858,40218,40106,40292,39713,39680,39838,40423,40556,40622,40957,40802,40932,40939,41493,41698,41281,42342,40599,40837,40894,40864,41266,41708,42010,42517,43027,43080,43228,43381,43655,43490,43647,43845,44233,44647,44878,45080,45498,45846,46257,46629,47114,47026,47281,47484,47723,52411,50546,49527,55367,51050,50319,49546,48252,48031,48388,48580,49793,50138,50101
13,"    Personal consumption expenditures",9441,9555,9542,9501,9510,9582,9555,9587,9560,9668,9649,9746,9867,9994,10463,10102,10303,9972,10042,10053,10035,10192,10197,10508,10592,10617,10543,10424,10417,10510,10603,10773,10969,11135,11221,11307,11279,11271,11244,11342,11370,11343,11382,11335,11136,11185,11322,11423,11582,11716,11788,11749,11792,11869,11763,11732,11688,11816,11824,12011,12095,12201,12252,12375,12421,12498,12619,12675,12884,13070,13263,13254,13513,13625,13812,14155,14328,14327,14447,14462,14510,14672,14706,14755,15076,15271,15515,15543,15683,15748,15780,15860,15919,15942,16027,15928,16184,16286,16365,16585,16764,17043,17261,17619,17902,17854,17873,17776,17581,17606,17637,17335,17445,17689,17888,18033,18354,18484,18631,18822,19000,19057,19183,19417,19480,19846,19871,19973,20026,19961,20094,20082,19997,19492,19647,19858,19884,19841,19878,19691,19794,19810,19892,20191,20349,20721,21041,21326,21462,21718,21826,22055,22389,22546,22916,22908,23063,23265,23618,23706,23682,23954,24168,24159,24537,24667,24821,25041,25107,25167,25341,25382,25538,25536,25547,25263,25090,25218,25254,25155,25551,25638,25818,26035,26058,26216,26417,26564,26796,26925,27043,27252,27247,27408,27568,27675,27861,28080,28159,28293,28515,28562,28953,29207,29427,29864,30159,30502,30738,31123,31373,31737,32135,32355,32576,32774,32818,32806,32835,33280,33281,33375,33524,33628,33723,34034,34430,34584,34839,34952,35275,35586,35736,36055,36262,36238,36553,36660,36800,37056,37202,37216,37368,37420,37287,37308,36930,36512,36346,36093,36252,36129,36266,36521,36704,36849,36924,36895,36928,36915,37115,37114,37112,37183,37364,37407,37481,37731,37798,38092,38385,38743,38973,39171,39363,39440,39667,39792,39988,40116,40363,40501,40702,41078,41325,41491,41617,41686,41691,41977,42342,42553,41813,38193,41564,42112,43021,44394,44661,45061,45034,45209,45319,45385,45759,45799,46084
14,"        Goods",2943,2982,2988,2986,2978,2993,2977,2983,2966,3019,3021,3075,3122,3144,3365,3173,3230,3053,3073,3083,3056,3112,3095,3237,3268,3262,3220,3185,3170,3188,3207,3280,3367,3448,3480,3488,3458,3439,3409,3440,3457,3431,3444,3401,3308,3305,3353,3402,3466,3507,3520,3476,3490,3518,3478,3443,3399,3438,3445,3507,3536,3558,3571,3613,3634,3653,3675,3673,3747,3814,3888,3846,3961,3979,4046,4189,4257,4225,4272,4250,4251,4314,4290,4294,4422,4478,4575,4555,4607,4599,4595,4598,4594,4593,4605,4540,4671,4696,4712,4780,4813,4928,5001,5134,5246,5183,5172,5109,5015,4988,4992,4777,4802,4893,4999,5020,5155,5207,5239,5289,5335,5362,5390,5489,5446,5588,5576,5622,5604,5542,5617,5576,5532,5290,5328,5374,5440,5384,5424,5313,5355,5342,5357,5451,5469,5618,5729,5850,5918,6038,6027,6106,6189,6232,6382,6328,6411,6512,6697,6677,6527,6638,6721,6645,6788,6809,6790,6881,6877,6900,6980,6938,7015,6918,6878,6745,6667,6683,6699,6602,6732,6744,6793,6859,6865,6954,7002,7068,7169,7211,7255,7371,7315,7343,7408,7455,7496,7621,7650,7718,7801,7773,7949,8032,8072,8259,8357,8585,8670,8850,8926,9052,9164,9190,9260,9316,9316,9319,9361,9674,9637,9642,9736,9751,9785,9976,10231,10298,10394,10407,10527,10641,10700,10835,10910,10860,11061,11052,11120,11247,11301,11302,11344,11338,11127,11086,10827,10473,10454,10366,10522,10442,10499,10622,10679,10804,10839,10779,10760,10815,10933,10912,10937,10992,11175,11180,11247,11334,11399,11592,11698,11840,11972,12078,12189,12220,12329,12414,12521,12576,12670,12785,12921,13170,13275,13289,13329,13377,13393,13599,13772,13816,13730,13416,14883,14993,15578,16112,15743,15943,15886,15857,15805,15781,15960,15961,16129
15,"            Durable goods",279,284,286,303,301,302,305,300,293,317,331,342,354,356,438,382,393,335,327,325,325,330,309,361,372,368,364,352,340,355,355,375,407,427,439,426,404,403,394,405,411,399,395,388,361,354,360,372,390,403,409,388,398,405,399,388,365,372,379,396,403,412,414,430,437,445,449,454,470,481,495,478,521,521,537,558,583,558,575,573,560,583,577,577,611,623,649,643,654,651,647,643,632,637,637,593,654,667,683,710,724,741,758,796,845,833,823,802,782,784,787,710,724,736,780,800,839,841,848,859,889,908,919,936,909,974,958,963,949,925,948,921,904,804,837,860,883,847,870,806,830,831,835,871,878,941,974,1020,1056,1079,1076,1109,1145,1156,1227,1182,1204,1244,1346,1322,1241,1289,1339,1300,1358,1356,1335,1366,1357,1372,1400,1353,1407,1357,1338,1297,1257,1259,1274,1249,1294,1299,1322,1343,1352,1392,1403,1432,1462,1474,1484,1532,1496,1507,1545,1567,1580,1625,1631,1658,1698,1688,1757,1797,1807,1893,1940,2049,2048,2140,2185,2204,2321,2273,2305,2315,2347,2340,2361,2551,2517,2528,2597,2567,2564,2674,2786,2819,2863,2864,2931,2979,2987,3060,3112,3011,3124,3118,3154,3191,3226,3253,3284,3301,3187,3157,3043,2813,2812,2786,2914,2839,2868,2953,2993,3070,3091,3064,3085,3152,3223,3224,3259,3326,3404,3414,3438,3466,3518,3643,3698,3761,3826,3897,3939,3956,4002,4028,4123,4180,4207,4254,4356,4510,4563,4583,4609,4610,4568,4679,4779,4839,4620,4615,5490,5564,5924,6123,5728,5875,5893,5874,5879,5856,6044,6032,6122
16,"            Nondurable goods",3504,3548,3548,3485,3483,3503,3467,3496,3494,3490,3444,3485,3515,3543,3589,3493,3543,3477,3534,3559,3515,3583,3630,3666,3675,3679,3628,3617,3636,3612,3640,3684,3707,3760,3768,3826,3853,3828,3813,3824,3830,3829,3865,3822,3774,3793,3846,3881,3914,3932,3930,3937,3923,3943,3900,3887,3897,3934,3921,3957,3976,3978,3993,3999,4008,4009,4030,4010,4066,4130,4195,4189,4217,4246,4295,4440,4461,4492,4510,4484,4523,4546,4529,4536,4616,4662,4723,4712,4754,4754,4758,4776,4805,4787,4805,4844,4849,4846,4822,4840,4844,4963,5018,5100,5119,5065,5076,5044,4966,4922,4920,4820,4820,4915,4948,4923,5012,5078,5104,5144,5129,5116,5127,5222,5232,5259,5285,5337,5347,5323,5369,5381,5363,5276,5247,5253,5289,5300,5298,5304,5303,5282,5291,5332,5338,5390,5459,5512,5516,5625,5615,5645,5669,5701,5733,5770,5831,5871,5869,5902,5898,5931,5921,5914,5966,6001,6026,6074,6089,6085,6129,6181,6159,6147,6135,6052,6037,6053,6041,5969,6040,6045,6059,6099,6087,6117,6156,6179,6245,6276,6310,6357,6363,6376,6378,6391,6417,6481,6506,6538,6559,6544,6626,6652,6682,6745,6773,6845,6954,7001,7011,7132,7052,7174,7202,7252,7192,7209,7223,7266,7281,7269,7263,7332,7376,7419,7537,7562,7605,7619,7655,7714,7770,7814,7824,7913,7977,7975,8000,8091,8100,8065,8070,8043,7963,7958,7822,7730,7711,7649,7656,7663,7688,7716,7728,7769,7781,7750,7707,7689,7732,7709,7697,7681,7785,7779,7822,7881,7892,7958,8008,8086,8152,8187,8255,8269,8331,8389,8399,8397,8463,8531,8565,8661,8714,8708,8722,8770,8824,8921,8996,8982,9106,8803,9410,9446,9678,10013,10031,10085,10011,10001,9945,9943,9944,9956,10037
17,"        Services",6019,6079,6038,5979,6019,6089,6095,6128,6140,6146,6107,6097,6148,6281,6351,6363,6510,6529,6580,6565,6621,6697,6756,6820,6861,6917,6927,6843,6877,6967,7055,7106,7159,7182,7223,7331,7371,7412,7455,7515,7511,7545,7565,7613,7573,7655,7727,7744,7807,7893,7966,8027,8052,8092,8042,8088,8140,8227,8218,8328,8376,8472,8511,8583,8593,8657,8774,8860,8973,9070,9157,9251,9332,9447,9544,9674,9751,9831,9881,9959,10025,10098,10207,10263,10404,10541,10647,10735,10806,10915,10972,11076,11168,11202,11290,11309,11352,11434,11507,11651,11818,11933,12063,12246,12376,12454,12505,12520,12472,12570,12604,12701,12793,12915,12938,13090,13214,13274,13400,13548,13682,13699,13807,13898,14082,14258,14318,14352,14465,14516,14526,14603,14586,14454,14577,14760,14645,14712,14674,14667,14713,14762,14838,15031,15200,15375,15564,15688,15727,15819,15978,16115,16377,16492,16671,16763,16799,16865,16964,17109,17351,17486,17598,17727,17933,18054,18278,18385,18473,18506,18576,18700,18754,18923,19007,18895,18823,18949,18964,19012,19266,19352,19485,19634,19650,19690,19850,19915,20025,20109,20178,20235,20321,20464,20548,20599,20751,20811,20856,20906,21036,21135,21316,21483,21675,21896,22088,22144,22289,22464,22638,22867,23156,23369,23517,23660,23707,23690,23662,23727,23781,23878,23915,24009,24069,24156,24256,24337,24491,24598,24795,24986,25074,25247,25375,25412,25500,25626,25691,25809,25900,25913,26024,26088,26202,26273,26186,26167,26012,25848,25830,25795,25872,25998,26123,26130,26167,26206,26264,26185,26257,26281,26249,26260,26237,26277,26276,26437,26434,26522,26708,26921,27013,27102,27179,27225,27341,27381,27468,27540,27693,27715,27781,27908,28051,28204,28290,28311,28301,28385,28578,28741,28093,24842,26770,27202,27546,28390,28998,29202,29230,29434,29593,29682,29880,29918,30041
18,"Population (midperiod, thousands)",143143,143790,144449,145122,145709,146289,146921,147607,148254,148847,149485,150167,150786,151319,151973,152658,153291,153902,154610,155344,155976,156587,157267,157986,158574,159160,159889,160639,161328,161983,162731,163524,164204,164864,165612,166419,167109,167788,168573,169416,170172,170869,171638,172417,173064,173729,174483,175288,176045,176727,177481,178268,179319,180401,181301,182019,182634,183337,184103,184894,185553,186203,186926,187680,188299,188906,189631,190362,190954,191560,192256,192938,193467,193994,194647,195279,195763,196277,196877,197481,197967,198455,199012,199572,199995,200452,200997,201538,201955,202419,202986,203584,204086,204721,205419,206130,206763,207362,208000,208642,209142,209637,210181,210737,211192,211663,212191,212708,213144,213602,214147,214700,215135,215652,216289,216848,217314,217776,218338,218917,219427,219956,220573,221201,221719,222281,222933,223583,224152,224737,225418,226117,226754,227389,228070,228689,229155,229674,230301,230903,231395,231906,232498,233074,233546,234028,234603,235153,235605,236082,236657,237232,237673,238176,238789,239387,239861,240368,240962,241539,242009,242520,243120,243721,244208,244716,245354,245966,246460,247017,247698,248374,248936,249711,250595,251482,252258,253063,253965,254835,255585,256439,257386,258277,259039,259826,260714,261547,262250,263020,263870,264678,265388,266142,267000,267820,268487,269251,270128,270991,271709,272487,273391,274246,274950,275703,276564,277400,278103,278864,279751,280592,281304,282002,282769,283518,284169,284838,285584,286311,286935,287574,288303,289007,289609,290253,290974,291669,292237,292875,293603,294334,294957,295588,296340,297086,297736,298408,299180,299946,300609,301284,302062,302829,303494,304160,304902,305616,306237,306866,307573,308285,308901,309488,310148,310817,311376,311940,312606,313258,313813,314373,315030,315685,316196,316733,317396,318072,318645,319228,319919,320611,321168,321744,322428,323110,323689,324265,324926,325557,326053,326554,327140,327692,328091,328526,329040,329522,329868,330245,330729,331208,331534,331699,331872,332045,331989,332149,332480,332786,332978,333321,333799,334282,334641,335019,335501

Legend/Footnotes
"Note. On January 26, 2023, BEA's per capita income and product statistics were updated, beginning with the first quarter of 2020. The revised historical time series reflects the latest Census Bureau <a href=""https://www.census.gov/data/datasets/time-series/demo/popest/2020s-national-total.html"">population statistics</a>, released in December 2022."
